feature1,feature2,label
-1.3377,-1.5983,0
-0.0851,-2.3129,0
-2.8435,-2.134,0
-1.1946,-1.8647,0
1.7156,1.5574,1
1.8505,1.699,1
-3.0561,-2.8244,0
-1.9688,-1.1163,0
-2.0059,-2.3615,0
2.8468,1.7711,1
1.7042,2.4952,1
0.3155,1.2769,1
-2.1559,-3.124,0
-0.9293,-2.0475,0
-1.7878,-2.0516,0
2.6109,0.3651,1
0.4539,2.2485,1
-2.4713,-1.8159,0
2.6655,2.6406,1
2.6579,1.3922,1
-2.2909,-3.5964,0
2.0414,1.0869,1
-0.83,-2.1461,0
1.7537,0.7286,1
1.8266,2.3551,1
1.8589,0.5963,1
2.7993,1.3669,1
-1.7143,-2.7746,0
-0.9882,-1.4554,0
-1.4996,-1.5573,0
1.1394,1.7411,1
-1.7244,-2.713,0
2.9481,1.1988,1
2.2825,1.8811,1
-2.2777,-2.9147,0
2.2719,1.5075,1
3.2457,1.4358,1
1.5695,0.0085,1
-2.3451,-1.8378,0
2.4879,2.3467,1
-3.144,-2.6827,0
-1.4741,-3.0204,0
1.958,2.2895,1
1.4537,0.9153,1
-2.553,-3.3476,0
-0.5077,-1.9154,0
-1.7267,-2.1317,0
-1.2698,-2.3177,0
3.0324,1.6942,1
-1.0837,-0.95,0
-1.1756,-3.0623,0
3.1348,1.0298,1
0.9606,2.6037,1
-1.3837,-2.0498,0
-2.2537,-1.9603,0
1.0323,1.8607,1
2.1431,1.1294,1
-1.9103,-1.7987,0
2.0058,1.9621,1
2.2156,1.8256,1
1.9761,0.7601,1
-0.5828,-0.9467,0
2.3362,1.458,1
-0.7112,-2.3954,0
-2.2573,-2.1137,0
-0.6949,-1.712,0
3.0007,2.2616,1
-2.194,-2.1812,0
-2.8789,-2.7712,0
1.5998,1.644,1
1.8818,3.0496,1
0.9421,1.6934,1
-2.2077,-2.2622,0
2.3613,1.2548,1
0.4445,3.2592,1
1.7863,0.9328,1
-1.3442,-1.8155,0
-1.8482,-1.2073,0
1.4329,2.1552,1
2.2459,1.3266,1
2.6373,1.4191,1
-1.9838,-3.4572,0
-1.5382,-3.1117,0
-1.6841,-0.7838,0
-2.5749,-2.4825,0
0.5625,-3.4501,0
-2.2434,-2.5976,0
-1.7295,-3.2956,0
1.7471,1.7899,1
-2.3748,-1.3308,0
0.2569,1.9236,1
-0.6301,-2.5497,0
2.9196,1.1704,1
0.5149,2.0234,1
2.1676,1.8962,1
3.4098,3.4808,1
-1.7443,-1.7158,0
-3.0284,-1.9277,0
-3.5995,-1.7924,0
1.5271,0.877,1
-2.5845,-0.8378,0
2.3612,1.1829,1
-2.6575,-2.0684,0
2.0041,2.5884,1
-1.6511,-1.519,0
-0.4491,-0.5406,0
-1.088,-2.105,0
2.3425,1.8234,1
1.499,1.8963,1
2.2387,3.9937,1
1.7349,1.5822,1
2.5317,0.9112,1
-0.4794,-0.8039,0
-2.8859,-2.7874,0
-2.5805,-1.1288,0
1.6058,3.2261,1
-2.083,-3.3334,0
-2.0397,-0.9427,0
-3.2069,-2.04,0
1.2221,0.6399,1
2.5253,2.8955,1
-1.19,-3.3986,0
-1.9076,-2.5114,0
1.4649,1.4562,1
1.4193,2.6978,1
2.9306,1.9391,1
-1.1861,-2.554,0
-2.6718,-1.6885,0
-2.132,-1.4002,0
-1.7362,-0.1079,0
1.6023,3.1369,1
-2.9587,-1.6668,0
-2.2288,-1.5907,0
-0.0557,-2.2074,0
1.2042,1.1789,1
-1.6133,-1.3738,0
2.9403,2.3426,1
-1.3768,-1.0979,0
1.4857,1.7038,1
2.7726,2.0978,1
-1.3716,-2.3934,0
-2.5832,-0.0586,0
0.9709,2.8757,1
-3.2156,-2.3436,0
2.1133,2.5562,1
-1.6206,-1.7813,0
-0.1723,-2.8531,0
2.0756,1.6505,1
-2.166,-2.463,0
-1.0477,-1.3761,0
2.328,1.6394,1
-1.4627,-1.8162,0
1.8541,2.5353,1
-1.976,-1.9406,0
-2.4056,-2.5782,0
-1.9989,-2.1665,0
1.6404,1.3114,1
2.2706,2.1818,1
-2.477,-1.5499,0
2.1188,1.7977,1
3.1898,0.8338,1
-2.1616,-2.0927,0
2.5119,2.0617,1
1.3978,1.0319,1
-2.7998,-4.2368,0
2.5348,3.2894,1
-1.3938,-1.0015,0
0.7571,2.0256,1
1.3775,0.6136,1
2.6777,1.8339,1
-2.7346,-2.7952,0
3.9195,2.9701,1
-2.9815,-2.9214,0
-2.9535,-3.1992,0
2.9798,2.4229,1
-2.5462,-1.8969,0
2.4879,2.0677,1
1.292,2.9964,1
3.1231,2.3231,1
2.5719,2.2649,1
-1.2405,-1.9509,0
-2.2938,-2.5988,0
-2.3777,-2.4286,0
2.4308,2.6815,1
-3.4294,-2.2665,0
1.8267,1.635,1
-2.1047,-1.22,0
-1.9739,-0.6338,0
-2.7384,-2.577,0
-1.6311,-2.5591,0
2.1472,3.2005,1
2.1496,1.2539,1
-2.3593,-2.752,0
3.002,3.0594,1
-3.2656,-2.4838,0
-1.6899,-0.0714,0
-2.8253,-3.2707,0
1.9787,2.2961,1
-1.2641,-0.9909,0
-2.9972,-3.2145,0
-1.0153,-1.3999,0
1.7687,2.0189,1
-1.8547,-1.6063,0
-1.3426,-3.5307,0
-2.5895,-0.7747,0
1.5624,1.4009,1
1.1771,2.3011,1
-1.5408,-1.7509,0
1.3267,2.1078,1
-2.3968,-0.9883,0
3.2461,1.7446,1
-1.5029,-1.4192,0
-2.5023,-4.0883,0
0.7102,0.3414,1
1.316,2.7072,1
-1.4166,-1.046,0
2.5151,2.2967,1
3.2772,1.344,1
-2.5,-2.6627,0
3.0266,1.8693,1
-2.9035,-2.4693,0
-3.3534,-1.7391,0
2.2357,2.1948,1
-1.1865,-2.413,0
-1.4676,-2.2544,0
-2.1328,-1.9557,0
0.2454,-1.4924,0
-2.964,-2.2752,0
0.9631,2.4246,1
2.716,1.591,1
4.0337,2.079,1
1.2681,0.9131,1
-2.9895,-2.2388,0
-3.6998,-1.7586,0
2.7388,1.8579,1
1.7426,2.7439,1
1.8114,1.4857,1
-2.4862,-0.9841,0
-1.1261,-2.4923,0
-3.7286,-2.4387,0
-1.827,-1.4095,0
-1.8678,-2.3845,0
-1.8109,-1.4178,0
3.5753,2.6848,1
3.5878,1.7914,1
-2.3048,-2.8366,0
-2.6682,-1.8194,0
2.7126,1.9314,1
-1.6176,-2.0164,0
1.5447,2.9727,1
0.6202,2.7795,1
1.6571,0.883,1
-0.8365,-1.6252,0
2.6968,2.613,1
0.9376,2.0557,1
-3.1728,-1.3897,0
-2.2508,-2.5046,0
-2.4646,-1.9344,0
1.9468,1.5403,1
-2.2843,-1.0291,0
-2.7099,-2.5822,0
-1.3159,-1.1786,0
-1.4036,-2.2219,0
-1.6229,-1.3033,0
1.5927,0.6834,1
-2.3441,-1.9246,0
2.1974,2.1631,1
-2.8325,-2.8031,0
-2.4156,-2.1753,0
2.1629,1.3441,1
3.447,2.5097,1
-1.4614,-3.5458,0
2.9338,2.7009,1
-2.9934,-1.6401,0
1.7516,2.345,1
1.3602,1.352,1
1.5239,4.0118,1
2.2209,1.6631,1
-0.2379,-1.9043,0
-2.3017,-1.075,0
1.5374,0.8733,1
1.4234,2.0452,1
-3.2439,-2.2014,0
2.3839,1.8629,1
1.5963,2.1791,1
-3.5741,-0.4926,0
2.0019,2.2199,1
2.0895,3.0826,1
-2.0546,-1.0137,0
-2.2705,-2.8552,0
1.3246,2.3636,1
-3.6219,-1.6712,0
1.0718,1.0127,1
-0.4978,-2.0354,0
-1.54,-0.897,0
2.538,1.6222,1
-3.3222,-1.8744,0
-0.6978,-2.4928,0
-1.6872,-1.8803,0
-1.2473,-0.4158,0
-1.0115,-1.1571,0
2.1231,2.1962,1
1.7315,2.4285,1
1.8339,3.8446,1
-3.2766,-2.2668,0
2.0053,1.0839,1
2.2891,2.0032,1
-0.1193,1.5843,1
2.2238,-0.0071,1
2.0943,2.214,1
1.7343,3.2283,1
-1.8315,-1.6408,0
1.291,1.1919,1
-2.751,-2.0867,0
2.4192,2.0143,1
-2.9153,-2.8944,0
-2.4411,-2.963,0
3.7022,1.8495,1
1.0639,1.9127,1
-1.732,-2.9752,0
-1.3768,-1.7532,0
-2.0911,-0.0067,0
-3.2491,-1.6398,0
-0.8054,-1.3981,0
-3.4279,-2.2585,0
2.6054,2.7008,1
2.0913,1.3483,1
-3.1863,-2.527,0
1.6134,2.5971,1
2.5817,1.0481,1
-2.339,-2.1455,0
0.6854,2.7837,1
1.7533,2.7397,1
-2.1636,-3.1465,0
-3.2226,-2.2155,0
-0.2236,-1.0575,0
1.2596,1.5098,1
-1.9256,-3.0094,0
2.8189,1.7625,1
-1.5044,-2.8065,0
2.2708,1.8565,1
1.3199,1.1222,1
2.4654,2.048,1
-2.264,-3.1449,0
-1.8768,-1.2224,0
-1.4692,-1.4248,0
-2.1012,-3.2236,0
2.3687,0.8856,1
1.4533,1.4663,1
-3.6085,-1.4788,0
2.991,2.0597,1
-2.3132,-0.9517,0
-1.8281,-2.4946,0
1.7796,1.5861,1
2.9559,1.3613,1
0.5259,1.0208,1
-2.0961,-2.3195,0
2.6789,1.3317,1
-2.2878,-2.0323,0
1.0243,3.2094,1
1.0958,1.7837,1
-3.5783,-2.312,0
1.5368,1.9941,1
1.2512,2.023,1
2.5031,1.084,1
3.3487,1.8438,1
-1.7336,-0.6773,0
2.5173,4.2138,1
-2.355,-0.2662,0
-1.2144,-2.2981,0
-3.0847,-1.0413,0
-1.9731,-2.0003,0
3.184,2.1222,1
-2.0556,-2.0367,0
-1.2927,-1.9314,0
1.9119,1.4767,1
2.674,0.1127,1
1.143,2.0126,1
1.8482,3.0277,1
-2.6385,-2.5265,0
-2.0372,-1.8002,0
2.1397,2.5965,1
0.8301,0.7962,1
2.5947,1.4577,1
1.8886,0.7372,1
-0.1953,0.8076,1
-2.4171,-2.1929,0
0.5996,2.4434,1
-2.7503,-1.0759,0
2.3192,1.3212,1
1.8699,1.6201,1
-4.0471,-0.3716,0
-2.1602,-2.286,0
2.5264,2.8009,1
0.3515,3.338,1
-2.8259,-2.5422,0
-2.0189,-1.6507,0
1.2509,0.5543,1
1.6694,2.4196,1
1.6332,2.049,1
2.4411,1.7101,1
-2.0109,-1.267,0
-1.8189,-2.4206,0
2.0747,1.1036,1
-0.1178,-2.1499,0
-0.9201,-1.3858,0
-1.6534,-0.4811,0
2.2302,2.5995,1
1.2989,2.3876,1
-2.3922,-3.0745,0
-1.6202,-1.6368,0
-0.8568,-0.5146,0
2.0578,1.7282,1
1.6586,1.8654,1
2.5433,2.0987,1
-2.2517,-2.7806,0
1.6479,1.8275,1
-0.404,-2.0463,0
-2.6965,-3.7094,0
-1.8377,-1.8661,0
-2.1527,-1.8643,0
0.6028,1.839,1
1.2111,0.8622,1
2.652,0.6051,1
-1.8108,-1.9873,0
2.1037,2.9705,1
2.3085,0.7703,1
1.6891,1.2155,1
2.1806,1.1706,1
1.7736,-0.2251,1
-3.0995,-2.1284,0
2.1109,2.4385,1
-0.9971,-2.5368,0
-1.8844,-3.8188,0
-1.2327,0.1287,0
-1.9633,-0.9152,0
2.8485,3.2703,1
-2.2002,-3.0325,0
1.1735,0.9312,1
-2.5121,-1.4842,0
2.8631,2.082,1
-2.1998,-2.8328,0
0.9085,1.6011,1
-2.467,-1.8832,0
2.0842,1.4537,1
1.6425,2.8491,1
-1.4854,-2.417,0
1.8048,1.0861,1
-0.1883,1.5088,1
2.5921,3.8278,1
-3.1083,-1.8863,0
2.5842,1.7585,1
1.7483,3.1596,1
-2.3736,-2.5494,0
-0.2838,-1.6447,0
1.6599,2.8967,1
-1.2489,-1.1498,0
2.3985,2.4513,1
-2.7328,-1.451,0
-2.8644,-0.1284,0
-0.8714,-1.7304,0
-2.0313,-2.1315,0
-1.1383,-2.8698,0
-3.7508,-2.9706,0
-2.7771,-1.4208,0
-4.094,-1.4112,0
1.5608,2.0447,1
-2.8449,-1.6557,0
-0.9918,-3.4242,0
2.3464,2.5821,1
-0.2593,2.4168,1
-1.2002,-2.9518,0
2.3829,2.6957,1
2.8051,2.9075,1
